library
Fast svmlight / libsvm file loader
sklearn_pandas
sklearn_xarray
auto-sklearn
autoviml
TPOT
Featuretools
Neuraxle
EvalML
Sacred
REP
Scikit-Learn Laboratory
dtreeviz
eli5
mlxtend
yellowbrick
scikit-optimize
sklearn-deap
sklearn-onnx
sklearn2pmml
sklearn-porter
treelite
tslearn
sktime
HMMLearn
PyStruct
pomegranate
sklearn-crfsuite
nolearn
Keras
lasagne
skorch
scikeras
mlxtend
scikit-lego
xgboost
ML-Ensemble
lightning
py-earth
Kernel Regression
gplearn
scikit-multilearn
seglearn
libOPF
fastFM
lda
kmodes
hdbscan
spherecluster
categorical-encoding
imbalanced-learn
Feature-engine
giotto-tda
Pandas
statsmodels
PyMC
Seaborn
scikit-survival
implicit
lightfm
OpenRec
Spotlight
Surprise Lib
scikit-image
Natural language toolkit (nltk)
gensim
NiLearn
AstroML
MSMBuilder
